Code Cegid;Historique
AFC;"<strong>28/09/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;vu MM Gicquel, Legrand Baert pour un point rapide avant la réunion LFA du 05/10 voir CRV<br />
<strong>23/09/2016&nbsp;JACQUES G&nbsp;:</strong>&nbsp;tél M. Gicquel pour proposition de point avant réunion avec Sence et Mansuy : OK pour le mercredi 28/09 à&nbsp;partir de 16h30 - faire point sur V510 ,&nbsp;F(H) et papier en Rlx<br />
<strong>17/08/2016&nbsp;JACQUES G&nbsp;: </strong>pb corrosion de pièces AFC qui arrivent chez JTEKT Torsen Strepy Bracquegnies : voir Mme Catalano&nbsp;<br />
<strong>03/11/2015&nbsp;ELODIE S&nbsp;:</strong>&nbsp;appel Mr Baert afin de faire un point sur ma proposition de l'échantillonner suite visite du 22/10. IL revient&nbsp; vers moi d'ici 15 jours.<br />
<strong>22/10/2015&nbsp;ELODIE S&nbsp;:</strong>&nbsp;Visite suite nouveaux cas de corrosion : voir CRV dans rapport<br />
<strong>04/12/2014 JACQUES G :</strong> visite M. Gicquel + M. Thomas (housses à fond plat / robot) + M. Legrand pour point et prise en compte besoin housse / robot<br />
<br />
AFC appartient au groupe LFA, SED, FONDATEX, LFA ESPANA, MECAFOR SERBIE: attention pour la cohérence des prix<br />
<br />
Avril 2014 : Mr Vehert quitte la société AFC : Mme Vallée, assistante qualité et Mr Baert , responsable méthodes, deviennent nos nouveaux interlocuteurs<br />
<br />
CA 2011 : 50 171 €&nbsp;&nbsp;&nbsp; 2012 : 59 718 €&nbsp;&nbsp;&nbsp; 2013 : 77 945 €&nbsp;&nbsp;&nbsp; 2014 : 67 589 €&nbsp;&nbsp;&nbsp; 2015 : 55 532 €&nbsp;&nbsp;&nbsp; 12dm : 45 265 €"
AIAB;"<strong>16/02/2017&nbsp;JACQUES G&nbsp;:</strong>&nbsp;consultations de René Ledoux (groupe Prolians), Aart Electronics et probablement d'autres pour probablement une demande des AIA<br />
<strong>26/08/15 CECILE G</strong>&nbsp;: Offre envoyée à Mme Matet - offre identique à&nbsp;Airmetec, Caldic et&nbsp;René Ledoux (groupe Prolians) mais avec des conditions commerciales différentes.&nbsp;(Tarif catalogue pour AIA Bordeaux, conditions décalées en fonction du demandeur pour les autres)<br />
<strong>08/03/2011 JACQUES G :</strong> M. Natali a tél à JGL pour savoir si catalogue toujours d'actualité<br />
<br />
Les AIA de Floirac n'ont pas le droit d'acheter chez un fournisseur en particulier (règles des appels d'offres des administrations). Ils sont donc obligés de consulter au moins 3 distributeurs à chaque besoin.<br />
S'ils consultent en direct pour savoir combien coûtent réellement nos produits : faire tarif<br />
Pour les distributeurs consultés : voir en fonction des accords que nous avons déjà avec eux : T-1 pour un nouveau distributeur ; T-2 pour certains d'entre eux avec qui nous avons du volume<br />
Distributeurs : ALMA MSA, RENE LEDOUX groupe PROLIANS, AART ELECTRONICS, CALDIC,"
ALC;"<strong>24/02/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;Jérôme a pu communiquer avec Mme Bellanger et va prendre contact avec PSA pour avancer<BR><strong>24/01/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;vu Mme Bellanger, M. de Azevedo, Mme Bouhier pour un point sur leur souci de corrosion : voir CRV<BR><strong>23/01/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;Mme Auffrey pas joignable, mais eu Mme Bellanger : OK pour passage mardi 14h00 pour point sur site<BR><strong>20/01/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;tél et mail à Mme Auffrey pour demande de passage mardi 24/01<BR><strong>18/01/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;Mme Auffrey signale à Frédérique qu'elle a besoin d'un accompagnement technique / condi pièces chaudes<BR><strong>16/01/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;tél Mme Auffrey : pas joignable<BR><strong>09/01/2017&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;tél Mme Auffrey pour point début d'année : pas joignable par tél<BR><strong>21/10/2015&nbsp;JACQUES G&nbsp;:</STRONG>&nbsp;visite Mme Auffret pour point suite à hausse volume : attaque concurrente : faire offre avec pistes de gains<BR>CA 2011 : 10 810 €&nbsp;&nbsp;&nbsp;&nbsp; 2012 : 11 582 €&nbsp;&nbsp;&nbsp;&nbsp; 2013 : 11 737 €&nbsp;&nbsp;&nbsp;&nbsp; 2014 : 25 071 €&nbsp;&nbsp;&nbsp;&nbsp; 2015 : 28 278 €&nbsp;&nbsp;&nbsp; 2016 : 31 781 €"
ALG;"<strong>03/11/2016 GERALDINE D</strong>&nbsp;:&nbsp;<br />
contact de la société ALGI INDUSTRIE dans le cadre de l'action de prospection<br />
<br />
Mme Jocelyne Devillaz, acheteur - 04 50 18 01 80<br />
Décolletage<br />
Plus aucun besoin de VCI - les produits sont traités ou huilés. Pas de besoin<br />
Ont perdu le marché qui nécessitait une protection VCI<br />
<br />
Adresser un mail pour rappeler nos coordonnées et celles de Jean-Michel en particulier<br />
<br />
<br />
&nbsp;"
ALLI;
ALL;
ALLEV;"<br />
<strong>17/05/2017 JACQUES G</strong>&nbsp;:&nbsp;consultation de M. Andrieux pour un sachet GV450-350x600mm<br />
<strong>15/10/2015 JACQUES G&nbsp;:</strong>&nbsp;visite JGL / Mme Fontaine pour point complet, négociation offre et info sur autres sociétés sœurs Zerust concernées par Allevard : ne font plus que des protos à Douai Mme Fontaine achète aussi les VCI pour les sites UK (demander détails aux Taylor), Italie, Allemagne&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Se renseigner sur la société HENDRICKSON Frauenthal Automotive qui partage le même terrain ???<br />
<strong>05/02/2014 JACQUES G :</strong> visite JGL / Mme Fontaine acheteuse France pour point complet<br />
<br />
Revigny&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CA&nbsp;2011 : 39 611 €&nbsp;&nbsp;&nbsp; 2012 : 38 388 €&nbsp;&nbsp;&nbsp; 2013 : 38 446 €&nbsp;&nbsp;&nbsp; 2014 : 33 106 €&nbsp;&nbsp;&nbsp; 2015 : 39 070 €&nbsp;&nbsp;&nbsp; 12dm : 38 166 €<br />
Fronville&nbsp;&nbsp;&nbsp;&nbsp; CA&nbsp;2011 :&nbsp; &nbsp;3 446 €&nbsp;&nbsp;&nbsp; 2012 : 12 850 €&nbsp;&nbsp;&nbsp; 2013 : 18 691 €&nbsp;&nbsp;&nbsp; 2014 : 29 627 €&nbsp;&nbsp;&nbsp; 2015 : 15 296 €&nbsp;&nbsp;&nbsp; 12dm : 18 932 €<br />
Custine&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;CA&nbsp;2011 :&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;0 €&nbsp;&nbsp;&nbsp; 2012 :&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;0 €&nbsp;&nbsp;&nbsp; 2013 :&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;&nbsp;&nbsp; 0 €&nbsp;&nbsp;&nbsp;&nbsp;2014 :&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;&nbsp;0 €&nbsp;&nbsp;&nbsp; 2015 :&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 0 €&nbsp;&nbsp;&nbsp; 12dm :&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 0 €<br />
Douai&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; CA&nbsp;2011 :&nbsp; &nbsp;4 137 €&nbsp;&nbsp;&nbsp;&nbsp;2012 : 10 198 €&nbsp;&nbsp;&nbsp; 2013 : 10 815 €&nbsp;&nbsp;&nbsp; 2014 :&nbsp;&nbsp; 1 593 €&nbsp;&nbsp;&nbsp; 2015 :&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 0 €&nbsp;&nbsp;&nbsp; 12dm :&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;0 €<br />
<br />
Tous sites&nbsp;: CA 2011 : 47 194 €&nbsp;&nbsp;&nbsp; 2012 : 61 434 €&nbsp;&nbsp;&nbsp; 2013 : 67 792 €&nbsp;&nbsp;&nbsp;&nbsp;2014 : 64 326 €&nbsp;&nbsp;&nbsp; 2015 : 54 366 €&nbsp;&nbsp;&nbsp; 12dm :&nbsp;57 098 €"
AL;
ALLF;
ALLR;"<strong>27/09/2017 JEAN-MICHEL B</strong>&nbsp;: tel --&gt;&nbsp;Changement format film VCI 1200X1000 de Vanelo 250 à Valeno 180 accord M CATALOGNIAT<br />
<br />
<strong>27/09/2017 JEAN-MICHEL B</strong>&nbsp;:&nbsp;visite avec M VERNET pour gamme CHINE voir cr<br />
<br />
<strong>02/10/2012&nbsp;ELODIE S : </strong>intervention sur corrosion<br />
<strong>08/12/2011&nbsp;JACQUES G&nbsp;:</strong>&nbsp;visite M. Lamart - Mme Lebek - M. Zaeppkel - visite atelier - rationalisation produits - prix<br />
&nbsp;"
