AUDI BRUSSEL NV;;B-1190;FOREST;2;17;76
DUFERCO CLABECQ NV;Rue de Clabecq 101;B-1440;Ittre;2;17;262
NMC SA;Rovert 10;B-4370;Raeren/Eynatten;2;17;633
BROWNING CUSTOM SHOP;Voie de Liège, 33;B-4040;HERSTAL;2;17;1210
FORGES DE COURCELLES SITE DE COURCELLES *MECA STAMP;50, rue du Progrès;B-6180;COURCELLES;2;17;1244
INSTITUT BELGE DE L'EMBALLAGE SPRL;Z.I. Research Park 280;B-1731;Zellik;2;17;1378
DOOSAN INFRACORE EUROPE;Rue Achille Degrace, 1A;B-7080;FRAMERIES;2;17;1526
SOLAR TURBINES EUROPE;rue des Etats-Unis, 1;B-6041;GOSSELIES;2;17;1527
CAPAUL SA;Industriestrasse, 39;B-4700;EUPEN;2;17;1553
VERVLOET;rue de la Borne, 78;1080;BRUXELLES (Molenbeek-St-Jean);2;17;1574
T.D. WILLIAMSON * WILLIAMSON;rue du Travail, 6;B-1400;NIVELLES;2;17;1647
METAL SERVICE INTERNATIONAL;rue Bernifalouche, 8;B-6832;SENSENRUTH (BOUILLON);2;17;1764
ENDECO;rue de Bruxelles, 355;B-1480;TUBIZE;2;17;1780
DELTA SERVICES INDUSTRIELS * DSI * D.S.I.;Rue du Mont d'Orcq, 3;B-7503;FROYENNES;2;17;1976
FONDERIE FALLAIS;chaussée de Waremme, 123;B-4530;VILLERS-LE-BOUILLET;2;17;2187
SONACA;Route Nationale 5;6041;GOSSELIES;2;17;2233
MUSTAD SA;Industriestrasse,30;B-4070;EUPEN;2;17;2240
ARCELOR MITTAL RINGMILL;Zone Industrielle CMI - SERAINGavenue Greinier, 1;B-4100;SERAING;2;17;2448
FILAME BRUSSELS SA;Z.I. NIVELLES NORDavenue Robert SCHUMAN, 85;B-1400;NIVELLES;2;17;2546
ALPHA-PRIME SA;Bld du Général Wahis, 20;B-1030;BRUXELLES;2;17;2748
OVERDRIVE RACING;rue de l'Industrie, 1;B-4530;VILLERS-LE-BOUILLET;2;17;2775
SAG INDUSTRIES;rue de Fontenoille, 17;B-6820;SAINTE-CECILE;2;17;2798
FN CARTOUCHERIE HERSTAL;Voie de Liège, 33;B-4040;HERSTAL;2;17;2834
ROXELL NV;Industrielaan 13;B-9990;Maldegem;2;14;1474
CATERPILLAR BELGIUM SITE DE GRIMBERGEN;;;GRIMBERGEN;2;14;1481
REYNAERS ALIMUNIUM NV;Oude Liersebaan 266;B-2570;DUFFEL;2;14;1516
ROBBERECHTS BV;Slachthuisstraat 21;B-2300;Turnhout;2;14;1886
GERCOPACK SPRL;rue Provinciale, 62;1301;BIERGES;2;14;2126
VOM VZW;Kapeldreef 60;3001;Leuven;2;14;2165
ZF WIND POWER ANTWERP (GENT);Ottergemsesteenweg 439;9000;Gent;2;14;2200
SOFEL NV;Klein Frankrijk 10;9600;Ronse;2;14;2203
BUYSE DECOLLETAGE NV;Venecolaan 11-13;9880;Aalter;2;14;2206
XEIKON PREPRESS NV;Oostkaai 50;8900;Ieper;2;14;2211
VERWATER BELGIUM;;;;2;14;2275
BOREALIS KALLO NV;Haven 1568Sint-Jansweg 2;9130;Kallo-Kieldrecht;2;14;2294
VAN HOOL NV;Bernard Van Hoolstraat 58;2500;Lier;2;14;2300
BOART LONGYEAR;;;;2;14;2317
CAST IRON NV;Dennenlaan 11;2345;Beerse;2;14;2320
DISTRIPACKAGING / SERVIBOX;Spoorwegbaan 20;1742;Ternat;2;14;2335
BNR PRODUCTS;Beukenhoflaan 7;2400;MOL;2;14;2340
GELDOF NV;Broelstraat 20;8530;Harelbeke;2;14;2373
INVENS CONSTRUCTION NV;Noorderlaan 710;2040;Antwerpen;2;14;2374
INALCO NV;Dijkstraat 23;9160;Lokeren;2;14;2375
DEWULF GROUP NV;Moorseelsesteenweg 20;8800;Roeselare;2;14;2381
THERMO-CLEAN NV;Dellestraat 45;3550;Heusden-Zolder;2;14;2394
MAINTENANCE & GEARS HEYVAERT;Rittwegerlaan 2B;2030;Antwerpen;2;14;2395
ROGERS CORPORATION;Afrikalaan 188;9000;Gent;2;14;2438
METALOGIC;;;;2;14;2478
DONALDSON FILTRATION SOLUTIONS;Research Park Building Nº 1303Interleuvenlaan 1;3001;Leuven;2;14;2506
CUMMINS GLOBAL LOGISTICS RUMST;;;Rumst;2;14;2552
STS SOLUTIONS;Moenstraat, 5;8554;ZWEVEGEM;2;14;2593
STEWO-CONSTRUCT;Heernisse 3;8600;DIKSMUIDE;2;14;2626
VANDEWIELE NV;;;Marke;2;14;2697
CULOBEL NV;Heekestraat 16;9308;Hofstade;2;14;2803
FLUXYS BELGIUM;Station de Compression de Berneaurue Male Voye;4607;BERNEAU;2;14;2833
PEDEO NV;Westerring 25;9700;Oudenaarde;2;14;2956
METAL QUARTZ;rue Verte Reine 15;7600;PERUWELTZ;2;14;3029
CATERPILLAR DISTRIBUTION SERVICES EUROPE BVB;Humbeeksesteenweg 98;1850;Grimbergen;2;14;3030
POLY PACKAGING SOLUTIONS BVBA;Spoorwegstraat 59;8530;Harelbeke;2;14;3094
BNL_MACHINES NV;Bleyveldstraat 16;3320;Hoegaarden;2;14;3113
PANORAMA HELICOPTÈRES;360, chemin de l'Aéroport;G8B5V2;ALMA;14;6;2071
HELI-INTER;6500 Chemin de la Savane;J3Y 8Y9;St-Hubert Qc.;14;13;1940
VECTOR AEROSPACE HELICOPTER SERVICES;4551 Agar DriveRICHMOND;BC;V7B1A4;14;13;2156
PICANOL TEXTILE MACHINERY CO. LTD.;FengTing Avenue/Songzhuang RoadSuzhou Industrial Park;215122;Suzhou;9;14;1176
PRIMEPRO;;;;9;14;1227
SAINT JEAN INDUSTRIE DOO.  SITE CROATIE;Mile Budaka 1;HR - 35000;Slavonski Brod;76;12;1884
VALEO ZARAGOZA THERMIC;N-232   km 8,9MONZALBARBA;50120;ZARAGOZA;4;12;3031
LFA SITE DE SEVILLE;ZI de Guillena;41210;Guillena Séville;4;14;3013
SIDEO;10 Grande Rue;25150;VERMONDANS;1;6;2048
PCA SEVEL NORD;;;SEVEL NORD;1;6;2128
TELEPHONIE DU PILAT;36 Rue du Mont;42100_;SAINT ETIENNE;1;6;2171
NETWORK D CORPORATION;;;;1;8;2176
MITSUBISHI ENGINES ALSACE (MEA) * MEA;1, rue de la Fonderie;68052;Mulhouse Cedex 01;1;12;1094
BOUCARD EMBALLAGES;rue de l'Europe;49280;LA SEGUINIERE - ST LEGER SOUS CHOLET;1;12;1095
GKN DRIVELINE SITE D'ARNAGE;15, rue Maurice Trintignant;72236;ARNAGE;1;12;1174
LISI AEROSPACE VILLEFRANCHE * BLANC AÉRO;18 RUE JEAN VAURS;12200;VILLEFRANCHE DE ROUERGUE;1;12;1361
MICHELIN SITE DE CLERMONT FERRAND;;63040;Clermont Ferrand;1;12;1399
